gene	tpm
ENSG00000000003	15.25
ENSG00000000005	0
ENSG00000000419	47.78
ENSG00000000457	24.9
ENSG00000000460	28.04
ENSG00000000938	7.51
ENSG00000000971	32.08
ENSG00000001036	12.45
ENSG00000001084	1.68
ENSG00000001167	5.5
ENSG00000001460	0
ENSG00000001461	0
ENSG00000001497	4.37
ENSG00000001561	0.9
ENSG00000001617	236.11
ENSG00000001626	0
ENSG00000001629	16.04
ENSG00000001630	57.32
ENSG00000001631	0
ENSG00000002016	45.43
ENSG00000002330	9.42
ENSG00000002549	0
ENSG00000002587	0.9
ENSG00000002726	1.01
ENSG00000002745	12.23
ENSG00000002746	1.46
ENSG00000002822	0
ENSG00000002834	31.07
ENSG00000002919	0
ENSG00000002933	6.51
ENSG00000003056	109.02
ENSG00000003096	7.07
ENSG00000003137	9.76
ENSG00000003147	0.34
ENSG00000003249	24.68
ENSG00000003393	0
ENSG00000003400	10.66
ENSG00000003402	0
ENSG00000003436	2.92
ENSG00000003509	15.82
ENSG00000003756	1.79
ENSG00000003987	9.98
ENSG00000003989	26.47
ENSG00000004059	1.91
ENSG00000004139	0.9
ENSG00000004142	0.79
ENSG00000004399	0
ENSG00000004455	17.83
ENSG00000004468	9.09
ENSG00000004478	0.22
ENSG00000004487	18.17
ENSG00000004534	133.03
ENSG00000004660	20.3
ENSG00000004700	0.11
ENSG00000004766	0
ENSG00000004776	0.34
ENSG00000004777	22.32
ENSG00000004779	0.11
ENSG00000004799	20.97
ENSG00000004809	5.72
ENSG00000004838	37.91
ENSG00000004846	0
ENSG00000004848	13.8
ENSG00000004864	0.45
ENSG00000004866	10.43
ENSG00000004897	15.25
ENSG00000004939	2.8
ENSG00000004948	0
ENSG00000004961	0
ENSG00000004975	12.67
ENSG00000005001	2.8
ENSG00000005007	3.48
ENSG00000005020	0.22
ENSG00000005022	0
ENSG00000005059	3.93
ENSG00000005073	7.29
ENSG00000005075	13.57
ENSG00000005100	65.73
ENSG00000005102	35
ENSG00000005108	0
ENSG00000005156	0.9
ENSG00000005175	0
ENSG00000005187	20.64
ENSG00000005189	0
ENSG00000005194	0.22
ENSG00000005206	0.56
ENSG00000005238	4.82
ENSG00000005243	14.92
ENSG00000005249	47
ENSG00000005302	44.64
ENSG00000005339	3.59
ENSG00000005379	0
ENSG00000005381	136.95
ENSG00000005421	1.57
ENSG00000005436	4.6
ENSG00000005448	101.62
ENSG00000005469	0.9
ENSG00000005471	0.22
ENSG00000005483	63.93
ENSG00000005486	8.52
ENSG00000005513	18.39
ENSG00000005700	27.82
ENSG00000005801	50.47
ENSG00000005810	1.46
ENSG00000005812	0
ENSG00000005844	0.56
ENSG00000005882	230.72
ENSG00000005884	0
ENSG00000005889	105.99
ENSG00000005893	10.09
ENSG00000005961	7.29
ENSG00000005981	7.96
ENSG00000006007	0
ENSG00000006015	0.34
