gene	tpm
ENSG00000000003	26.417
ENSG00000000005	6.064
ENSG00000000419	75.684
ENSG00000000457	10.355
ENSG00000000460	10.986
ENSG00000000938	10.167
ENSG00000000971	16.895
ENSG00000001036	12.245
ENSG00000001084	16.229
ENSG00000001167	25.85
ENSG00000001460	9.158
ENSG00000001461	25.269
ENSG00000001497	38.195
ENSG00000001561	41.055
ENSG00000001617	30.94
ENSG00000001626	2.735
ENSG00000001629	18.238
ENSG00000001630	27.977
ENSG00000001631	26.821
ENSG00000002016	10.339
ENSG00000002330	111.761
ENSG00000002549	243.443
ENSG00000002586	191.352
ENSG00000002587	3.873
ENSG00000002726	30.85
ENSG00000002745	0.279
ENSG00000002746	0.609
ENSG00000002822	44.27
ENSG00000002834	43.779
ENSG00000002919	50.268
ENSG00000002933	64.184
ENSG00000003056	80.55
ENSG00000003096	7.053
ENSG00000003137	25.82
ENSG00000003147	66.542
ENSG00000003249	7.851
ENSG00000003393	13.029
ENSG00000003400	6.343
ENSG00000003402	191.176
ENSG00000003436	86.374
ENSG00000003509	17.175
ENSG00000003756	135.509
ENSG00000003987	2.766
ENSG00000003989	7.318
ENSG00000004059	218.396
ENSG00000004139	6.131
ENSG00000004142	72.381
ENSG00000004399	12.276
ENSG00000004455	154.383
ENSG00000004468	17.784
ENSG00000004478	67.151
ENSG00000004487	80.213
ENSG00000004534	73.759
ENSG00000004660	11.873
ENSG00000004700	23.902
ENSG00000004766	18.557
ENSG00000004776	1.426
ENSG00000004777	5.29
ENSG00000004779	212.781
ENSG00000004799	33.755
ENSG00000004809	5.238
ENSG00000004838	15.341
ENSG00000004846	0.242
ENSG00000004848	0.16
ENSG00000004864	17.653
ENSG00000004866	34.753
ENSG00000004897	55.146
ENSG00000004939	0.936
ENSG00000004948	0.471
ENSG00000004961	27.484
ENSG00000004975	28.649
ENSG00000005001	41.455
ENSG00000005007	42.19
ENSG00000005020	7.795
ENSG00000005022	308.746
ENSG00000005059	19.585
ENSG00000005073	0.18
ENSG00000005075	64.714
ENSG00000005100	4.507
ENSG00000005102	11.046
ENSG00000005108	0.959
ENSG00000005156	13.837
ENSG00000005175	28.933
ENSG00000005187	13.361
ENSG00000005189	6.13
ENSG00000005194	49.494
ENSG00000005206	82.713
ENSG00000005238	8.281
ENSG00000005243	18.963
ENSG00000005249	3.228
ENSG00000005302	25.307
ENSG00000005339	25.888
ENSG00000005379	21.949
ENSG00000005381	7.545
ENSG00000005421	5.137
ENSG00000005436	22.448
ENSG00000005448	53.519
ENSG00000005469	23.542
ENSG00000005471	0.508
ENSG00000005483	115.455
ENSG00000005486	138.539
ENSG00000005513	6.361
ENSG00000005700	13.867
ENSG00000005801	28.732
ENSG00000005810	23.324
ENSG00000005812	36.839
ENSG00000005844	5.786
ENSG00000005882	36.632
ENSG00000005884	54.533
ENSG00000005889	22.906
ENSG00000005893	144.162
ENSG00000005961	0.762
ENSG00000005981	1.15
ENSG00000006007	61.986
ENSG00000006015	85.986
ENSG00000006016	8.79
ENSG00000006025	8.18
ENSG00000006042	10.4
ENSG00000006047	1.284
ENSG00000006059	22.052
ENSG00000006062	42.15
ENSG00000006071	2.695
ENSG00000006116	0.287
ENSG00000006118	29.32
ENSG00000006125	40.057
ENSG00000006128	11.814
ENSG00000006194	31.821
ENSG00000006210	26.288
ENSG00000006282	37.68
ENSG00000006283	4.664
ENSG00000006327	117.155
ENSG00000006377	10.441
ENSG00000006432	2.493
ENSG00000006451	85.244
ENSG00000006453	14.954
ENSG00000006459	8.561
ENSG00000006468	30.402
ENSG00000006530	21.791
ENSG00000006534	3.822
ENSG00000006555	13.723
ENSG00000006576	12.464
ENSG00000006606	15.459
ENSG00000006607	41.847
ENSG00000006611	2.574
ENSG00000006625	125.278
ENSG00000006634	11.496
ENSG00000006638	1.354
ENSG00000006652	96.351
ENSG00000006659	20.661
ENSG00000006695	14.712
ENSG00000006704	37.479
ENSG00000006712	95.759
ENSG00000006715	48.039
ENSG00000006740	4.784
ENSG00000006744	44.621
ENSG00000006747	3.728
ENSG00000006756	11.937
ENSG00000006757	27.076
ENSG00000006788	0.376
ENSG00000006831	18.698
ENSG00000006837	4.458
ENSG00000007001	0.085
ENSG00000007038	3.842
ENSG00000007047	13.321
ENSG00000007062	3.008
ENSG00000007080	80.28
ENSG00000007129	1.52
ENSG00000007168	93.019
ENSG00000007171	3.668
ENSG00000007174	3.052
ENSG00000007202	44.791
ENSG00000007216	1.77
ENSG00000007237	9.041
ENSG00000007255	75.733
ENSG00000007264	1.575
ENSG00000007306	3.544
ENSG00000007312	13.645
ENSG00000007314	1.407
ENSG00000007341	18.012
ENSG00000007350	2.344
ENSG00000007372	5.52
ENSG00000007376	19.089
ENSG00000007384	23.239
ENSG00000007392	87.284
ENSG00000007402	5.12
ENSG00000007516	4.143
ENSG00000007520	67.221
ENSG00000007541	25.397
ENSG00000007545	11.321
ENSG00000007866	22.152
ENSG00000007908	170.195
ENSG00000007923	28.014
ENSG00000007933	1.257
ENSG00000007944	54.371
ENSG00000007952	9.184
ENSG00000007968	3.769
ENSG00000008018	509.739
ENSG00000008056	9.27
ENSG00000008083	19.963
ENSG00000008086	3.383
ENSG00000008118	6.311
ENSG00000008128	28.986
ENSG00000008130	36.209
ENSG00000008196	2.531
ENSG00000008197	0.115
ENSG00000008226	1.254
ENSG00000008256	7.229
ENSG00000008277	3.269
ENSG00000008282	108.642
ENSG00000008283	50.254
ENSG00000008294	46.557
ENSG00000008300	0.503
ENSG00000008311	15.683
ENSG00000008323	17.191
ENSG00000008324	34.848
