ensembl_id	rank	symbol
ENSG00000000003	5368	TSPAN6
ENSG00000000005	11535	TNMD
ENSG00000000419	1777	DPM1
ENSG00000000457	9471	SCYL3
ENSG00000000460	9307	C1orf112
ENSG00000000938	9592	FGR
ENSG00000000971	7550	CFH
ENSG00000001036	8737	FUCA2
ENSG00000001084	7800	GCLC
ENSG00000001167	5995	NFYA
ENSG00000001460	10002	STPG1
ENSG00000001461	5513	NIPAL3
ENSG00000001497	3803	LAS1L
ENSG00000001561	3771	ENPP4
ENSG00000001617	5127	SEMA3F
ENSG00000001626	13318	CFTR
ENSG00000001629	7783	ANKIB1
ENSG00000001630	5287	CYP51A1
ENSG00000001631	5592	KRIT1
ENSG00000002016	10843	RAD52
ENSG00000002330	1435	BAD
ENSG00000002549	465	LAP3
ENSG00000002586	839	CD99
ENSG00000002587	12499	HS3ST1
ENSG00000002726	6268	AOC1
ENSG00000002745	17059	WNT16
ENSG00000002746	16091	HECW1
ENSG00000002822	3916	MAD1L1
ENSG00000002834	3603	LASP1
ENSG00000002919	3121	SNX11
ENSG00000002933	3079	TMEM176A
ENSG00000003056	1670	M6PR
ENSG00000003096	11146	KLHL13
ENSG00000003137	8668	CYP26B1
ENSG00000003147	2204	ICA1
ENSG00000003249	10608	DBNDD1
ENSG00000003393	8998	ALS2
ENSG00000003400	11403	CASP10
ENSG00000003402	630	CFLAR
ENSG00000003436	2679	TFPI
ENSG00000003509	7194	NDUFAF7
ENSG00000003756	1460	RBM5
ENSG00000003987	13712	MTMR7
ENSG00000003989	12439	SLC7A2
ENSG00000004059	533	ARF5
ENSG00000004139	11716	SARM1
ENSG00000004142	2069	POLDIP2
ENSG00000004399	9561	PLXND1
ENSG00000004455	892	AK2
ENSG00000004468	9732	CD38
ENSG00000004478	2296	FKBP4
ENSG00000004487	1681	KDM1A
ENSG00000004534	3154	RBM6
ENSG00000004660	9660	CAMKK1
ENSG00000004700	5774	RECQL
ENSG00000004766	6911	VPS50
ENSG00000004776	14891	HSPB6
ENSG00000004777	13569	ARHGAP33
ENSG00000004779	779	NDUFAB1
ENSG00000004799	5043	PDK4
ENSG00000004809	11777	SLC22A16
ENSG00000004838	8654	ZMYND10
ENSG00000004846	17182	ABCB5
ENSG00000004848	17460	ARX
ENSG00000004864	7102	SLC25A13
ENSG00000004866	4261	ST7
ENSG00000004897	2740	CDC27
ENSG00000004939	15650	SLC4A1
ENSG00000004948	16394	CALCR
ENSG00000004961	5398	HCCS
ENSG00000004975	5281	DVL2
ENSG00000005001	5385	PRSS22
ENSG00000005007	4058	UPF1
ENSG00000005020	10618	SKAP2
ENSG00000005022	368	SLC25A5
ENSG00000005059	7907	MCUB
ENSG00000005073	17545	HOXA11
ENSG00000005075	3237	POLR2J
ENSG00000005100	13513	DHX33
ENSG00000005102	10615	MEOX1
ENSG00000005108	15835	THSD7A
ENSG00000005156	8348	LIG3
ENSG00000005175	4923	RPAP3
ENSG00000005187	8387	ACSM3
ENSG00000005189	11221	REXO5
ENSG00000005194	3297	CIAPIN1
ENSG00000005206	2502	SPPL2B
ENSG00000005238	10487	FAM214B
